hour,B(t)_final
0,54.707853771192866
1,54.04235397227119
2,53.60562596733663
3,53.1714562792489
4,52.99828030010012
5,53.18475695287741
6,58.62768249023095
7,66.49354304678273
8,75.78715849225739
9,81.68407527219398
10,86.03377336572427
11,88.73238782396274
12,87.68408208643618
13,88.36932655228634
14,88.78372929030436
15,88.94298212568486
16,89.07254985674976
17,88.65167873962528
18,83.45570519800518
19,79.48433309843043
20,74.53366682658309
21,66.17032081272944
22,59.55031421367049
23,56.91910287334165
