hour,B(t)
0,24.211205559453226
1,24.166571318848387
2,24.24146088594678
3,23.73047552581129
4,23.645562930512906
5,24.38329732334839
6,29.437005611530644
7,31.85616065372581
8,33.27886767818872
9,33.749763289
10,34.29270993246613
11,36.74760781928226
12,35.37161016718226
13,35.1473200947113
14,35.44290583296935
15,34.70006302352581
16,36.384697999982265
17,37.68845270519194
18,35.98850051472904
19,35.49926196818387
20,32.0702381472371
21,27.75766954783226
22,26.54506512326936
23,25.857634949498387
