hour,B(t)
0,14.815758064516128
1,12.62180322580645
2,12.402390322580645
3,12.312048387096773
4,12.312045161290323
5,10.421370967741936
6,18.59714193548387
7,32.55465483870968
8,34.89060322580645
9,39.13014193548387
10,38.2719
11,36.355399999999996
12,37.265258064516125
13,48.157680645161285
14,45.015138709677416
15,46.92518064516129
16,50.44199032258065
17,48.7319870967742
18,45.17646129032258
19,44.54407419354838
20,42.65339032258065
21,33.56777741935484
22,20.023212903225808
23,16.0030935483871
