hour,B(t)
0,29.999704710562636
1,29.567423375282416
2,29.32899159855989
3,29.27803218764066
4,29.041403763736266
5,29.004361038588467
6,29.4054626790011
7,31.68232209940385
8,37.50866810285275
9,41.38594042893297
10,43.476033299601106
11,44.34388453602652
12,44.651718056624865
13,44.623926829940885
14,44.726473344346964
15,44.56925176324918
16,43.81413237411044
17,42.59865067487858
18,39.86696003808187
19,37.27648550160715
20,36.59720167313462
21,34.22570318571099
22,31.516239568843957
23,30.637242829477476
