hour,B(t)
0,3.7166288265116507
1,3.916069617245631
2,3.636735278470588
3,3.7729764210883494
4,3.735980902165049
5,3.7253927875514568
6,4.245738640841748
7,5.594137524052942
8,6.792475837225243
9,7.597069546205826
10,8.914833706070874
11,9.533078361968933
12,9.183827927548544
13,8.730306530282524
14,9.032085437936894
15,8.962987263115535
16,8.40223004880971
17,8.823537537011651
18,8.14116633078077
19,7.2388768665647625
20,6.3017904571932695
21,5.561642464683654
22,4.640208923746155
23,3.9399695928625005
