hour,B(t)
0,27.413225503352177
1,27.095533114881253
2,26.88505390281848
3,26.74728488910598
4,26.562677554873375
5,26.55073005365299
6,27.623258419250813
7,29.735688702816038
8,34.5325619029144
9,37.33744242653642
10,39.185037691756136
11,40.417387511548505
12,40.326814038782295
13,40.23793255194197
14,40.746936507913084
15,40.6217612521733
16,40.90541126510109
17,40.13136249295272
18,37.667561343962774
19,35.610665785009516
20,34.36238839507065
21,31.34342977936142
22,29.010676124410057
23,28.091784655842122
