hour,B(t)_final
0,5.396369118493559
1,5.260954004392277
2,5.1166803199622874
3,5.169595747217292
4,4.971937067550508
5,4.939103343313167
6,4.951492538828153
7,4.987733506048819
8,5.641298256916701
9,7.035338244072021
10,8.75156612960443
11,10.240876990346358
12,10.819094979845062
13,11.286405309678127
14,11.380305192207613
15,11.245434109646647
16,10.926874561742055
17,9.978325603752666
18,8.962890537359062
19,7.918576424641346
20,7.080569868858417
21,6.4178963228272154
22,5.946825699195813
23,5.605572026534102
