hour,B(t)
0,17.396987096774193
1,17.00694516129032
2,16.340761290322583
3,15.741583870967743
4,15.351509677419354
5,15.333751612903225
6,15.455509677419354
7,15.988604838709678
8,17.354009677419352
9,21.54702741935484
10,27.492009677419354
11,33.04064193548387
12,35.30906129032258
13,37.313414516129036
14,36.964080645161296
15,37.031099999999995
16,35.291051612903225
17,32.1493564516129
18,29.808735483870965
19,25.60498709677419
20,22.897340322580643
21,21.01429193548387
22,19.745279032258065
23,18.065590322580647
