hour,B(t)
0,22.222325806451614
1,21.767033870967744
2,21.244293548387095
3,21.054414516129032
4,20.64423548387097
5,20.312108064516128
6,20.321383870967743
7,20.58172580645161
8,25.133340322580647
9,30.11805483870968
10,35.54408709677419
11,40.441535483870965
12,41.73776290322581
13,42.35112258064516
14,42.847546774193546
15,41.558988709677415
16,38.98002580645161
17,37.037791935483874
18,33.539190322580644
19,30.279488709677416
20,27.640098387096774
21,25.168777419354836
22,23.879754838709676
23,23.09355483870968
