hour,B(t)
0,24.22668907103825
1,23.605498369565215
2,22.802627717391307
3,22.33576885245902
4,21.96443224043716
5,21.737845901639343
6,21.63308469945355
7,21.767017391304346
8,25.70694293478261
9,31.10337934782609
10,36.94357228260869
11,41.18642445652174
12,43.23595380434783
13,44.239739130434785
14,44.16345923913043
15,43.058706521739126
16,41.33683260869565
17,38.97478369565217
18,35.133122282608696
19,31.83614262295082
20,29.326111475409835
21,26.91088142076503
22,25.524510382513657
23,24.839996174863387
