hour,B(t)
0,4.739808460314877
1,4.600610150234711
2,4.5186151818281
3,4.492155714676859
4,4.461123855510744
5,4.431427528157852
6,4.412128681704133
7,4.400052945466943
8,4.75530053246529
9,5.823116589129753
10,7.463035091649588
11,8.928709321052892
12,9.564802729824795
13,10.141795586061159
14,10.381198019738017
15,10.156227274047936
16,9.755011864010743
17,8.656012568531406
18,7.537288625922314
19,6.655378646100001
20,6.175632165036666
21,5.653898378706668
22,5.212413782048333
23,4.856332517048333
