hour,B(t)
0,5.377414569613122
1,5.25033132122973
2,5.0583335846687785
3,5.008544269662896
4,4.937775314619005
5,4.924817200245702
6,4.966202140728507
7,4.990975999732736
8,5.691765950602703
9,7.079150467164415
10,8.902914666404955
11,10.44334297139009
12,11.146958653335135
13,11.67172234495766
14,11.78295348258874
15,11.630000255744594
16,11.445862426304956
17,10.479536447806305
18,9.355668209159642
19,8.119144197973874
20,7.152256258729865
21,6.527600220545249
22,5.946585239098191
23,5.604012823251131
