hour,B(t)_final
0,464.0699787679455
1,461.59066152037815
2,458.45440199053763
3,456.96675271583507
4,452.2368350707361
5,452.6893724896292
6,452.7804023673919
7,457.39093042510615
8,467.3597160483522
9,485.54508526852214
10,503.4714841804965
11,511.7031479033952
12,516.3503183408137
13,517.5392017288549
14,520.4312338491275
15,522.4744594012224
16,522.5775887125048
17,515.8687833562792
18,506.12216266504026
19,493.672964769182
20,486.20667113145237
21,480.6280269461804
22,474.8640953096186
23,468.26899122726144
