hour,B(t)
0,475.63210483870967
1,473.92694193548385
2,469.63256129032254
3,467.5983
4,461.55035967741935
5,465.5527435483871
6,465.5833919354839
7,466.6223016129032
8,476.90977741935484
9,494.319585483871
10,510.17264193548385
11,517.7821822580645
12,522.7992774193548
13,526.1708887096773
14,527.4453322580645
15,527.7340967741935
16,527.4614580645161
17,521.3231838709678
18,511.84877419354837
19,501.01603387096776
20,493.7710951612903
21,490.0348838709677
22,483.04320806451614
23,478.8278887096774
