hour,B(t)
0,134.3687100911632
1,133.4877167653522
2,132.71286151761154
3,132.10389685502858
4,130.8816200953253
5,131.27540913120387
6,130.99516562343462
7,133.0927998892077
8,136.07255354974947
9,141.55436238709396
10,146.02745546346318
11,148.1940238931088
12,149.60699438419508
13,149.9448960685978
14,150.72506685134397
15,150.98324485028957
16,150.63745102150168
17,148.9519686220934
18,146.15163190055551
19,143.52637064152088
20,140.59863788861924
21,138.8975319064066
22,137.69925202562254
23,135.44071952645717
