hour,B(t)
0,464.1788990291262
1,462.012459223301
2,459.13174019607845
3,457.871859223301
4,451.68036699029125
5,453.82543689320386
6,450.6782349514563
7,457.39604077669907
8,467.30279611650485
9,485.28782524271844
10,506.01900388349515
11,517.6358116504854
12,522.1056097087379
13,523.5884213592233
14,527.7979708737864
15,531.2374650485436
16,530.498491262136
17,523.9146951456311
18,512.4152288461538
19,506.72167047619047
20,490.6677634615384
21,482.6335211538462
22,476.4294365384615
23,469.1472644230769
