hour,B(t)
0,138.46977834296942
1,137.65557182167555
2,136.8872271031424
3,136.3184963875413
4,134.40695496575816
5,135.38463026509513
6,135.0304875691935
7,136.33124051626524
8,139.29724645843913
9,144.65064874532013
10,149.89938279516144
11,151.79531500064022
12,152.96495674258642
13,154.05908651149457
14,154.6686012423
15,154.94101854140817
16,154.56027184764838
17,152.74781980157556
18,149.4937835213239
19,145.79177388257773
20,143.96920328954482
21,142.5251893033798
22,140.7536095402186
23,139.42076106775957
