hour,B(t)
0,135.38302436528016
1,134.69187405715044
2,134.02591865113803
3,133.32362244112562
4,133.26378751563803
5,131.54862727249835
6,132.92245062842727
7,132.99876026164134
8,135.9002394569843
9,140.75985800638102
10,145.7728222023124
11,148.3080130268025
12,149.4969974718612
13,149.61327811415623
14,150.70875329141242
15,151.26618014639092
16,151.7191937969149
17,149.7087262525
18,147.4061022833711
19,142.4479818303549
20,141.5693789345125
21,140.35192194747586
22,139.0604513447442
23,137.081839881315
