hour,B(t)
0,465.6515421195652
1,462.8268127717391
2,460.0553554347826
3,457.7644236413043
4,453.49077608695654
5,454.8440236413044
6,454.78178260869566
7,460.0028983695652
8,469.8023453804348
9,487.6897649456522
10,503.3631652173913
11,510.9649111413044
12,515.3037891304348
13,516.5841956521739
14,519.1621421195651
15,519.9256048913044
16,519.0917464673913
17,513.2012111413043
18,503.45014076086954
19,494.0801279891304
20,485.3289839673913
21,480.513108423913
22,475.5472048913044
23,469.3218184782609
