hour,B(t)_final
0,31.65431130805993
1,31.550129515753262
2,31.773899812646743
3,31.58423710441604
4,31.243439830607123
5,30.856351024593987
6,30.59551570937319
7,31.063764214788343
8,31.94944138350977
9,33.686991774347405
10,35.037516573354665
11,34.26919751326092
12,33.335894763384125
13,33.14313593738518
14,32.94066976762775
15,33.17427610166162
16,33.275549244766786
17,33.31771150803239
18,32.94943351806406
19,32.79696827773925
20,32.44723767338813
21,32.02355775695244
22,31.928784492451655
23,31.730864035566192
