hour,B(t)
0,10.168311530517743
1,10.138052422462904
2,10.08812635952742
3,10.030636228620967
4,10.029500342148387
5,9.866104751135484
6,9.786678728574195
7,9.967093708869355
8,9.983735414717742
9,10.498882855748388
10,10.814325099646776
11,10.83702203051129
12,10.742083570841936
13,10.658875514295163
14,10.444418919264518
15,10.297665506795163
16,10.19857016587742
17,10.33208527765968
18,10.561290434417742
19,10.543514732877421
20,10.419079149753225
21,10.239796747064517
22,10.17965952325484
23,9.986383925706452
