hour,B(t)
0,11.80641959494355
1,11.90816675571613
2,11.916108979816128
3,11.939179812553226
4,11.925943402646775
5,11.917242030117743
6,11.77048956303871
7,11.882447411990324
8,12.06967062069355
9,11.904760987079033
10,11.978894241919356
11,11.722077070009679
12,11.574566872587097
13,11.429704240762904
14,11.484926852980646
15,11.564352402846776
16,11.629789012109677
17,11.57154209625
18,11.476226898537098
19,11.449371195643549
20,11.460341504946776
21,11.459584247298388
22,11.42630319907742
23,11.67214958898871
