hour,B(t)
0,28.89648
1,28.960447706422016
2,28.58645046728972
3,28.859155660377358
4,27.79590727272727
5,27.792533018867925
6,26.660847663551404
7,27.498895145631067
8,30.156008490566037
9,31.628746226415096
10,32.867475471698114
11,32.276223076923074
12,30.19591743119266
13,31.07724
14,30.069659633027523
15,30.642893396226413
16,30.19322962962963
17,31.090949523809524
18,30.060570270270272
19,30.42113181818182
20,30.09104485981308
21,29.871181308411213
22,29.64085140186916
23,29.619917757009347
