hour,B(t)
0,34.340574659400545
1,34.338833242506816
2,34.36543242506812
3,34.31681144414169
4,34.23047547683924
5,33.97111875
6,33.76651494565217
7,34.169641032608695
8,34.941960054347824
9,35.65644701086956
10,36.705122554347824
11,36.42246413043478
12,35.93019048913044
13,35.59034456521739
14,35.42813777173913
15,35.4020472826087
16,35.52250679347826
17,35.56860298913043
18,35.39617527173913
19,34.85933233695652
20,34.54840461956522
21,34.368044414168935
22,33.9941348773842
23,34.001110899182564
