hour,B(t)_final
0,63.95775042308653
1,62.05536216675641
2,60.91309642078592
3,61.53991094229956
4,60.2592486461611
5,65.20868707303298
6,85.49764130642264
7,122.64708579079115
8,113.07598132306563
9,103.88066954559284
10,98.06082095622781
11,95.84131153363839
12,94.66965626960612
13,95.07456490478297
14,95.24066703216931
15,95.96129148551158
16,96.94315210654872
17,98.10845537728989
18,99.7098487604705
19,101.58358711686603
20,104.26662511033942
21,106.13873077881877
22,100.36106351404966
23,72.72783872727095
