hour,B(t)
0,62.693839077470976
1,60.60459642345162
2,56.427528728201615
3,57.989141007370975
4,55.92117578064678
5,60.24102577631613
6,76.6854806608484
7,109.31625207502742
8,105.46446151920162
9,99.47756553402742
10,94.50149080835484
11,91.79951516073227
12,90.17549388480806
13,90.52535731765646
14,90.92816969899678
15,91.49551592129839
16,92.77298357589356
17,93.4178650401113
18,93.53133267740807
19,96.98456558104033
20,99.83310509037258
21,101.28550209791612
22,96.71460559286614
23,71.43850008398388
