hour,B(t)
0,61.521802769735494
1,59.09546512456452
2,60.14410436044517
3,59.693067146054844
4,59.107753307977426
5,64.02851466396129
6,81.6000969797355
7,98.37928432500323
8,94.6839842292742
9,90.84969190292904
10,87.04514776025626
11,85.44118941004064
12,86.5642347345
13,89.41430955771612
14,90.35799061459356
15,91.42175798641614
16,93.13891958961614
17,91.77635026165807
18,92.31154612256451
19,89.33337102881251
20,90.75962394648438
21,92.95991492487813
22,88.09033144679063
23,70.33170327162904
