hour,B(t)
0,65.97261248714516
1,64.80104981996129
2,64.35095610511291
3,64.95896025632258
4,64.2299215636742
5,67.3427506100258
6,96.78315915402258
7,155.1070345129097
8,139.9920536773129
9,123.56461676397743
10,112.88531561906774
11,110.03441736088065
12,106.47244377156453
13,106.76651593991613
14,105.89942568002257
15,106.76840388439034
16,107.06209579902813
17,114.08052155282903
18,117.43257500257742
19,121.26498316600969
20,123.31214460599034
21,124.42990363274376
22,117.2897936475484
23,76.63772899565485
