hour,B(t)
0,61.5456748831044
1,60.08309761648352
2,56.196903049761545
3,58.01719279524506
4,55.67539415516704
5,60.64132895149011
6,77.46668997044726
7,110.76646624903846
8,104.44827641628792
9,98.44286660828736
10,93.53459111579396
11,91.90579895357912
12,90.69753340309616
13,91.24191471793243
14,91.96716286808241
15,92.71689420177802
16,94.23084939114726
17,95.35439616693132
18,96.0464677137132
19,98.87547177091979
20,101.04316594746705
21,102.7705248111868
22,96.96998193797967
23,70.41278661537034
