hour,B(t)
0,66.86080509215653
1,63.9206075556424
2,64.69550698457144
3,64.57886923185544
4,64.15606557537392
5,70.69695189410326
6,91.13176697560327
7,131.4874681515587
8,118.84857102997174
9,106.96414033294839
10,101.58017307855326
11,98.21494008618153
12,97.06122818658478
13,96.29750363680002
14,96.3959554238076
15,96.82959442484783
16,96.93792079322283
17,96.02417931959785
18,98.04639081286088
19,100.34361797114241
20,104.77780959690978
21,106.18088854738173
22,101.14271045662936
23,74.49295402160327
