hour,B(t)
0,204.28942280701756
1,195.41840964912282
2,194.34715438596493
3,193.13902631578947
4,192.0949543859649
5,205.3843684210526
6,266.91993070175437
7,334.700553508772
8,325.79269736842105
9,313.31263826086956
10,301.34618803418806
11,299.5112439655173
12,302.47576086956525
13,305.8730596491228
14,306.4747947826087
15,307.23428965517246
16,311.98261637931034
17,312.28547565217394
18,314.08692719298244
19,312.09882192982457
20,316.10186434782605
21,323.8388131578947
22,306.9302859649123
23,233.93812192982455
