hour,B(t)
0,61.72882188110062
1,60.30706405157988
2,57.60752068285031
3,58.89174073882562
4,56.97479317103111
5,61.73105663682653
6,79.60513571028842
7,112.04497447219116
8,105.16675258992258
9,99.14333956039269
10,94.19302465568056
11,92.40654908860061
12,91.19216316792766
13,91.88637666376921
14,92.50248034856982
15,93.35451673177836
16,94.82381800427409
17,95.8899798336122
18,97.02066642595337
19,99.03328160333892
20,101.08178910098025
21,102.73274845950152
22,96.62696372179758
23,70.61398485757593
