hour,B(t)_final
0,32.40044060619486
1,31.514493811164066
2,31.322074096279344
3,31.363375915528337
4,31.38254945715761
5,35.806387521750146
6,41.33793020769108
7,51.79165096922496
8,50.67343469410757
9,53.16875255388497
10,55.12750642596359
11,55.284663321212065
12,55.243594307718396
13,54.56399903357974
14,53.93874141369154
15,53.18186406553254
16,51.96028388656996
17,49.643681761296946
18,50.40344418607401
19,51.414232000183986
20,51.54188423166058
21,51.29271265490718
22,47.48604554255194
23,33.0685943976925
