hour,B(t)
0,105.7063435483871
1,102.49498387096774
2,102.03272096774194
3,103.05079193548387
4,103.53825
5,132.99276290322578
6,156.41079193548387
7,143.18038548387096
8,143.84731612903227
9,157.8588516129032
10,166.16507419354838
11,168.30832741935484
12,168.3858951612903
13,167.39703548387098
14,167.41669193548387
15,163.8962241935484
16,159.2490758064516
17,148.98762258064514
18,147.39976774193548
19,145.71963548387095
20,150.0983064516129
21,149.604435483871
22,140.33683387096775
23,105.86814193548388
