hour,B(t)
0,31.4327478065541
1,30.540168677454893
2,30.343510709679894
3,30.63141059930707
4,30.749328353267934
5,38.22911524453479
6,44.93783998013207
7,43.1522493247087
8,43.06010286469946
9,47.37660737064076
10,49.81880257690543
11,50.128042335830976
12,50.2842823085962
13,50.092866807611415
14,49.93493307559947
15,48.98034587778696
16,47.64754609469838
17,44.42765433800163
18,43.864458841635326
19,43.68905678030164
20,44.740580474381424
21,44.670197151584155
22,41.79204487121367
23,31.471465208171587
