hour,B(t)
0,105.57219638009049
1,102.98726936936937
2,102.48111628959276
3,102.51591666666667
4,102.41687657657658
5,115.8728981981982
6,135.08357207207206
7,175.90233333333333
8,173.4912418918919
9,181.76377792792795
10,187.08848963963962
11,187.72186576576578
12,187.76232567567567
13,185.9927418918919
14,183.5094527027027
15,181.09229729729728
16,175.27574144144143
17,166.22737882882882
18,167.13458968609865
19,172.05718161434976
20,172.43238642533936
21,172.546192760181
22,159.46816923076923
23,107.9006190045249
