hour,B(t)_final
0,1.7587462825956586
1,1.647943771837736
2,1.5917844043130707
3,1.4995380433179704
4,1.4677576649164537
5,1.3921872342642851
6,1.3847028264053463
7,1.2427327786375648
8,1.332951966228138
9,1.450049304066881
10,1.7258751081630472
11,1.9786150974146142
12,2.3559295454589573
13,2.635955075804415
14,2.971796997003011
15,3.1246612063255452
16,3.186909187511632
17,3.0475367363749575
18,2.821820279436728
19,2.5947875797250384
20,2.3992755633746246
21,2.1704623136737973
22,1.9851227068913069
23,1.8494284640435716
