hour,B(t)
0,2.5818850784209677
1,2.4807089334032257
2,2.3502209614338714
3,2.286865628966129
4,2.1218624017096777
5,2.0466929990758067
6,1.9483511342451616
7,1.7913841974258065
8,2.011704103237097
9,2.3450189511838713
10,2.678333326435484
11,3.2017103902241937
12,3.665513682835484
13,4.083928786059678
14,4.439462670062904
15,4.611560578995161
16,4.555769787193549
17,4.306141363296774
18,4.0253032413758065
19,3.7364302471032262
20,3.454650516420968
21,3.2957956351274196
22,2.943096504006452
23,2.7700565136177424
