hour,B(t)
0,0.8538491230354839
1,0.8708699304032259
2,0.8283188573741935
3,0.824537296083871
4,0.7545661221387097
5,0.7999524207451613
6,0.7715850387258065
7,0.7470029995580645
8,0.6987758030322581
9,0.7800916608483871
10,0.7829297225967742
11,0.7848242848032257
12,0.9767744451193549
13,1.124873354821875
14,1.3540579788838711
15,1.4674687745875001
16,1.5611400567032259
17,1.34472148131875
18,1.3143440222129033
19,1.2472080738451612
20,1.0618784819580644
21,1.0268924222903226
22,0.8945094154193548
23,0.9276075306129032
