hour,B(t)
0,8.424029508196721
1,8.13743695652174
2,7.808571195652174
3,7.404684782608696
4,7.211169565217391
5,6.911113586956522
6,6.659976630434783
7,6.262616847826087
8,6.692588586956522
9,7.828138586956522
10,8.986514130434783
11,10.527033695652174
12,12.262695652173912
13,13.441183695652173
14,14.657722282608695
15,15.058890760869565
16,14.66533097826087
17,14.026084239130435
18,12.95630652173913
19,11.949043478260869
20,11.49784918032787
21,10.669820218579234
22,9.687120765027322
23,9.212163387978142
