hour,B(t)
0,1.0450814977024794
1,1.0160115187842975
2,0.9995377798876034
3,0.9670776234595042
4,0.9244401526933884
5,0.9235889940647541
6,0.8924612624446282
7,0.845949925914876
8,0.8481300350644628
9,0.9714368729289257
10,1.0741524454504132
11,1.2083091521196723
12,1.4624877483487604
13,1.6737092632295083
14,1.8953952750280993
15,1.9222493532325204
16,1.9828503257099175
17,1.7839933218622954
18,1.6889948158181818
19,1.4891351684719007
20,1.3190732506408334
21,1.2225854853108333
22,1.1185240326633334
23,1.0816398261841667
