hour,B(t)
0,1.4969389036194571
1,1.3910340425954957
2,1.3776969382121078
3,1.2432274209838565
4,1.2909483158860362
5,1.1563408061780271
6,1.175269118696861
7,1.0266054026400901
8,1.128867568390583
9,1.212515783573874
10,1.472766131922973
11,1.6429597058152468
12,2.0951384260273547
13,2.2866574332439464
14,2.6946700909121075
15,2.8015188325413334
16,2.918526000296413
17,2.7534270151748883
18,2.553336540708
19,2.2575035401691967
20,2.141024620824887
21,1.8579257167234235
22,1.7286596234193694
23,1.5776072656423423
