hour,B(t)
0,139.9857258064516
1,139.99604516129034
2,140.29029516129032
3,139.90312741935483
4,139.4746612903226
5,139.13395
6,139.43851935483872
7,140.1612435483871
8,142.60816612903224
9,147.52782580645163
10,150.91428064516128
11,152.60751129032258
12,153.2269870967742
13,153.7948370967742
14,153.4334806451613
15,152.03966451612902
16,150.0934822580645
17,148.09051612903224
18,146.74832258064518
19,144.42529677419353
20,142.07645483870968
21,140.56906935483872
22,139.46949516129033
23,138.6951435483871
