hour,B(t)
0,39.95309882540646
1,41.241091794080006
2,41.33802209662
3,40.72206305308
4,41.06287238827
5,40.756455911833335
6,38.390918987065625
7,39.922838771961295
8,40.7912544690871
9,43.964444292546666
10,43.09268176793125
11,44.155981821500006
12,43.24217820087813
13,44.522106913287104
14,46.55022047148334
15,44.860998146051614
16,45.77792661060667
17,42.0654069119788
18,42.573849018162505
19,41.858615653590626
20,43.848756469103336
21,42.80131485368334
22,40.48564475723872
23,40.51590386529355
