hour,B(t)
0,155.99397419354838
1,155.8391064516129
2,154.79116290322582
3,153.46445322580644
4,152.43199677419355
5,151.47696612903226
6,150.1967258064516
7,152.91208548387098
8,165.6009887096774
9,170.53614032258065
10,176.52438225806452
11,182.4506870967742
12,184.7220935483871
13,182.96692096774194
14,184.9182629032258
15,184.37622741935485
16,179.94698387096773
17,173.4941241935484
18,169.08036774193548
19,166.22562903225807
20,163.91292258064516
21,160.05669516129032
22,158.40476129032257
23,157.11935
