hour,B(t)
0,40.11606765662523
1,41.31334278688447
2,39.875869404006544
3,40.91339327187404
4,40.63004796988286
5,41.09022299749029
6,38.99360552559909
7,40.42107476766321
8,40.2455786441384
9,43.768356906097154
10,42.923087598653574
11,45.68814640312096
12,44.91669644716667
13,46.215217570591435
14,47.275613639613596
15,46.8237462659077
16,45.32420692509906
17,44.677244475655144
18,43.26520237484273
19,43.172294118577064
20,43.085842554918095
21,42.732587825523076
22,40.85332500727103
23,40.606113045215885
