hour,B(t)
0,157.06987540983607
1,156.49976413043478
2,155.41260054347825
3,154.57243804347826
4,154.01928695652174
5,153.08693206521738
6,152.3267875
7,154.96729565217393
8,164.83528478260868
9,170.7947027173913
10,176.45491902173913
11,180.2956608695652
12,183.32580923913045
13,184.2790391304348
14,184.40949728260873
15,181.9864266304348
16,176.82890923913044
17,172.14626467391304
18,168.00111467391304
19,164.8073224043716
20,162.46719672131147
21,160.11833224043716
22,158.59847650273224
23,157.82193224043715
