hour,B(t)
0,133.16420909090908
1,133.8598776859504
2,132.47434552845527
3,133.804181147541
4,134.26328852459017
5,132.4926612903226
6,132.98308387096773
7,135.62683223140493
8,134.86143360655737
9,133.87688780487804
10,136.3804237704918
11,136.12433225806453
12,137.51636803278686
13,134.3414424
14,135.44807661290324
15,135.34482741935486
16,135.39137459016393
17,132.78659756097562
18,132.6551024590164
19,129.37981048387095
20,130.31235409836066
21,130.29137131147542
22,130.75184214876035
23,131.07578606557377
