hour,B(t)_final
0,27.921553137442782
1,27.10680222712666
2,26.34921766072219
3,25.81087887469321
4,25.45312243062022
5,25.29648847758025
6,25.224837334770605
7,25.13881263358052
8,24.985023532845293
9,25.087488029375653
10,25.369644299387193
11,25.859401577825235
12,26.29588602072805
13,26.73138466429875
14,26.907016828033665
15,27.026475482266637
16,27.081938504113424
17,27.37713885580457
18,28.076205002490305
19,28.811943773209
20,29.113673520758578
21,29.17784091985205
22,28.786759886969445
23,28.534350231532397
