hour,B(t)
0,20.559590532445164
1,20.462667698488712
2,20.39316874700968
3,20.370004320630645
4,20.371421460724193
5,20.666911714559678
6,20.97091473555484
7,20.950110003420967
8,20.244715050045166
9,19.8849259642
10,19.510478128708066
11,19.55775568065484
12,19.576192682725807
13,19.641913381780647
14,19.604088314974195
15,19.605506400458065
16,19.52608085059194
17,19.518988059696774
18,19.678317526932258
19,20.39033257604194
20,20.706627089316132
21,20.634291021479033
22,20.425319108404842
23,20.658400365485484
