hour,B(t)
0,113.18636774193548
1,109.71794516129032
2,106.86255483870967
3,105.16222903225807
4,103.62644193548387
5,102.83597741935485
6,102.64883548387097
7,101.5292806451613
8,102.68433225806452
9,104.04589032258065
10,105.92044193548386
11,107.02387419354838
12,107.64336129032257
13,108.9790935483871
14,110.19868064516129
15,111.61185483870969
16,111.51829677419354
17,113.98975161290322
18,119.54242258064515
19,121.0524
20,121.90739354838709
21,122.57525806451613
22,120.13931612903225
23,117.5872129032258
