hour,B(t)
0,94.65853846153847
1,92.66427747747748
2,90.6075294117647
3,89.45915495495497
4,88.45670630630632
5,88.13592702702704
6,87.9426445945946
7,87.5687036036036
8,86.41667657657658
9,86.03146891891892
10,86.73070225225224
11,87.88542882882884
12,88.89238423423423
13,90.29219909909911
14,90.65443063063063
15,90.76616486486486
16,90.75580360360361
17,91.67354684684685
18,93.76293587443945
19,96.71781171171172
20,97.45364932126697
21,97.85553574660634
22,96.68109954751132
23,96.09366063348416
