hour,B(t)_final
0,79.22904260315703
1,74.91761982035054
2,71.06646709904726
3,68.28091490021654
4,66.56516321155942
5,65.18111614395444
6,64.19652832493024
7,63.54562948654113
8,63.37602437829643
9,66.53452354028923
10,70.65113374227346
11,75.31463161682238
12,79.28226567205553
13,82.8039338650138
14,82.51089827597428
15,82.49518028711957
16,83.51312949123674
17,83.49403933063175
18,83.79137917267424
19,83.10765344295807
20,83.84009321743902
21,82.5136373628875
22,81.78143594966474
23,82.70500501794598
