hour,B(t)
0,72.67810194174757
1,69.57070582524271
2,66.47360882352942
3,63.66470970873787
4,61.837177669902914
5,60.396119417475724
6,59.29494077669903
7,57.80727669902913
8,58.329704854368934
9,62.14015048543689
10,65.06886990291262
11,68.28308155339806
12,71.43708349514563
13,74.61634174757282
14,71.57110194174757
15,70.39805145631068
16,71.46816601941747
17,71.16130485436894
18,71.73691826923077
19,72.65730571428571
20,72.91791826923077
21,72.10045865384615
22,73.00254903846154
23,75.78770576923077
