hour,B(t)
0,24.172987849952445
1,22.893900734027717
2,21.87098013026114
3,21.097538604410328
4,20.537410080131252
5,20.064104317435326
6,19.748992148347284
7,19.628076947022826
8,19.605136973775544
9,20.571023492137503
10,22.011171758055163
11,23.677220106439133
12,24.74171840627582
13,25.476927944149185
14,25.421966221125544
15,25.31522952400897
16,25.5521218395856
17,25.796022534005168
18,25.565502601345923
19,25.312203327017393
20,25.405556634291305
21,25.00330354637962
22,24.711928694792118
23,25.040103946233152
