hour,B(t)_final
0,41.518995722434326
1,39.267772543618705
2,37.34709965887973
3,36.02081827231136
4,35.189740485403846
5,34.957935328727174
6,34.889967213874414
7,35.372233602753
8,36.44417044414223
9,36.82777150824468
10,37.74813554086544
11,38.88385750120479
12,40.67786950529211
13,41.295549164033545
14,41.74124454135771
15,42.234754936692504
16,42.469822616496955
17,43.099061465848834
18,44.44196540835816
19,45.37410119309153
20,45.47016423510419
21,45.62427289290797
22,44.84112283301726
23,43.67731868384013
