hour,B(t)
0,132.02547580645162
1,125.56777580645162
2,119.78278548387097
3,115.7933064516129
4,112.5539741935484
5,110.90205
6,111.23839838709678
7,113.38800806451613
8,115.53600322580645
9,118.42365967741937
10,120.5563306451613
11,124.61678709677419
12,129.33786774193547
13,130.72281129032257
14,133.29669193548386
15,134.66227903225806
16,135.2422241935484
17,138.55576935483873
18,142.27503870967743
19,142.0967822580645
20,141.59828548387097
21,143.91889999999998
22,140.1197822580645
23,136.51182903225805
