hour,B(t)
0,42.45493735199176
1,39.243822977228575
2,36.85233592040879
3,35.46586001389066
4,34.23311095780605
5,34.11690895041813
6,33.78585111797748
7,34.84191459236703
8,36.27735477261209
9,36.52127744385605
10,38.247428758439014
11,40.21790772974121
12,41.76576640296978
13,42.615996774434066
14,42.99110333920275
15,43.21143282877858
16,43.806787241915934
17,44.21636040553682
18,45.770821710750546
19,47.05526849123517
20,47.694351996076925
21,47.587972698029674
22,46.654232067171435
23,45.02761491044945
