hour,B(t)
0,139.0143278846154
1,133.03052427184466
2,126.11796862745099
3,120.75406923076922
4,119.36380873786408
5,117.99898834951456
6,117.92421262135923
7,119.61394615384614
8,122.89871730769231
9,126.6841582524272
10,129.8876796116505
11,132.83332596153846
12,138.08914807692307
13,140.41171538461538
14,140.16502788461537
15,142.1381087378641
16,140.53473714285715
17,145.02168155339805
18,144.73259906542057
19,153.3362219047619
20,148.78244859813083
21,152.92133557692307
22,147.8450433962264
23,146.54558749999998
