hour,B(t)
0,37.720392332368306
1,35.838429337130435
2,34.322848657394566
3,33.398221279667936
4,32.547992364457066
5,32.225075109383695
6,32.216869917772286
7,32.99979077733479
8,33.81393691844783
9,34.60585983604185
10,35.54378897378098
11,36.51668514520761
12,37.87072795674239
13,38.28054952359022
14,39.09525218104783
15,39.35158036008913
16,39.778046448404346
17,40.59777065445815
18,41.503517729398375
19,41.401560558386414
20,41.66151553196011
21,41.84988683713607
22,40.97042400611968
23,39.56901709831968
