hour,B(t)
0,42.83938191046198
1,41.0683731387623
2,39.925428789853726
3,38.95665401887604
4,38.62549178172149
5,38.27897669007541
6,38.61652913768513
7,38.017238346928806
8,39.001711141947936
9,37.687504797671544
10,37.905634321415704
11,38.126125340112196
12,40.77283341364132
13,40.98716100266312
14,41.37616826642149
15,42.003483835432235
16,42.261363305725624
17,42.31933108782378
18,44.84924514731901
19,44.707912428497565
20,45.73217578524834
21,44.79859097858862
22,44.766686346235836
23,43.874171771915705
