hour,B(t)_final
0,30.386698587787357
1,29.305249078362436
2,28.102583588253026
3,27.38340240873195
4,26.975761917846626
5,26.673315055055305
6,26.403869489920396
7,25.94901682601553
8,26.474663197134827
9,27.595347682724185
10,28.624175356844745
11,29.962714352449666
12,30.997671512145637
13,31.347676237536035
14,31.7669756966226
15,32.190786495768705
16,32.37806675945988
17,32.505550736704436
18,32.499601486432105
19,32.096096074669326
20,32.081964287194666
21,31.88947060332898
22,31.490693441579758
23,31.103026393989058
