hour,B(t)
0,31.945701407348388
1,30.501340217546776
2,28.949656900240328
3,27.8958165995
4,27.18616266272097
5,27.163942681274197
6,26.762073326780648
7,26.35831413703226
8,26.671770588558065
9,27.59512528080484
10,28.932636092872585
11,30.765629281870968
12,31.934830364029036
13,32.497919021012905
14,33.16076479214033
15,33.39952406349839
16,33.904459870959684
17,33.78153313079033
18,33.42505291107419
19,33.4472738379113
20,33.42599782870162
21,33.33664048080161
22,33.02933379332419
23,32.592477433772586
