hour,B(t)
0,119.36980806451614
1,115.22223548387096
2,110.38097419354838
3,106.45602258064517
4,105.22030806451613
5,104.20882096774193
6,103.10861451612902
7,101.0227177419355
8,103.20056451612903
9,108.45640806451613
10,111.20532903225806
11,115.93044032258064
12,120.1731935483871
13,121.31049677419354
14,123.09310806451613
15,127.22294516129033
16,128.85873387096774
17,130.46550161290324
18,130.9107483870968
19,128.29734516129034
20,129.76536290322582
21,127.96179193548386
22,126.58248870967742
23,123.6690241935484
